datum;nkp;rlm;slp
2016-01-01 00:00:00,000;4501250,1193932;2565525,63955716;1935724,47983604
2016-01-02 00:00:00,000;5448036,5883176;3037878,84001258;2410157,74830502
2016-01-03 00:00:00,000;6472305,1643964;3462335,63317042;3009969,53122598
2016-01-04 00:00:00,000;7766597,9674446;4565145,52259168;3201452,44485292
2016-01-05 00:00:00,000;7842384,7640766;4672447,1254139;3169937,6386627
2016-01-06 00:00:00,000;6788080,252268;3651898,16376794;3136182,08850006
2016-01-07 00:00:00,000;6994889,2869014;4044836,3383737;2950052,9485277
2016-01-08 00:00:00,000;6412381,39136;4077271,84676742;2335109,54459258
2016-01-09 00:00:00,000;5971136,570775;3683968,3972817;2287168,1734933
2016-01-10 00:00:00,000;5950151,5321436;3691794,70720856;2258356,82493504
2016-01-11 00:00:00,000;5891058,103941;3783778,45177862;2107279,65216238
2016-01-12 00:00:00,000;5661488,1369742;3654750,24649844;2006737,89047576
2016-01-13 00:00:00,000;4936294,5348974;2845967,05836768;2090327,47652972
2016-01-14 00:00:00,000;5774408,0063246;3688915,47282998;2085492,53349462
2016-01-15 00:00:00,000;6128917,7854444;3909583,42177668;2219334,36366772
2016-01-16 00:00:00,000;6287473,0012926;3998951,74165564;2288521,25963696
2016-01-17 00:00:00,000;6242867,375367;3819200,73984572;2423666,63552128
2016-01-18 00:00:00,000;7085571,5379504;4323147,62898102;2762423,90896938
2016-01-19 00:00:00,000;7179010,4669084;4329534,91881906;2849475,54808934
2016-01-20 00:00:00,000;6011535,6619332;3376446,5198777;2635089,1420555
2016-01-21 00:00:00,000;7177448,8158846;4364052,71751558;2813396,09836902
2016-01-22 00:00:00,000;7452809,3229042;4514922,99328762;2937886,32961658
2016-01-23 00:00:00,000;6224240,9354358;3735554,51370948;2488686,42172632
2016-01-24 00:00:00,000;5504366,7764244;3383964,36511326;2120402,41131114
2016-01-25 00:00:00,000;5263048,2259776;3512922,73812148;1750125,48785612
2016-01-26 00:00:00,000;4967431,6300742;3418612,66614724;1548818,96392696
2016-01-27 00:00:00,000;3435979,6265546;2001919,29513552;1434060,33141908
2016-01-28 00:00:00,000;4877070,275044;3282959,47091284;1594110,80413116
2016-01-29 00:00:00,000;5158722,990829;3516625,66834282;1642097,32248618
2016-01-30 00:00:00,000;4936713,3235154;3286041,47670688;1650671,84680852
2016-01-31 00:00:00,000;5054965,91694;3276051,13653712;1778914,78040288
2016-02-01 00:00:00,000;3456882,88713658;1740544,14738995;1716338,73974663
2016-02-02 00:00:00,000;3363101,26782582;1718317,63147065;1644783,63635517
2016-02-03 00:00:00,000;3755249,73660164;2013972,07804515;1741277,65855649
2016-02-04 00:00:00,000;4180366,4792364;2261338,78508905;1919027,69414735
2016-02-05 00:00:00,000;4117242,91563774;2284254,3760826;1832988,53955514
2016-02-06 00:00:00,000;3304697,3792853;1752180,86105965;1552516,51822565
2016-02-07 00:00:00,000;3528831,12877112;1979847,42412635;1548983,70464477
2016-02-08 00:00:00,000;5200751,95686406;3569246,66176175;1631505,29510231
2016-02-09 00:00:00,000;4676300,523735;3104685,451888;1571615,071847
2016-02-10 00:00:00,000;4022499,840492;2311688,3567968;1710811,4836952
2016-02-11 00:00:00,000;5035724,086575;3245413,45708245;1790310,62949255
2016-02-12 00:00:00,000;5567576,473403;3717987,133045;1849589,340358
2016-02-13 00:00:00,000;5520751,148893;3673363,4440587;1847387,7048343
2016-02-14 00:00:00,000;5652354,0664695;3745667,9034699;1906686,1629996
2016-02-15 00:00:00,000;5698935,6526995;3669440,45911265;2029495,19358685
2016-02-16 00:00:00,000;5837239,8231625;3639151,96804115;2198087,85512135
