date;entry;rlm;slp;wind;day_of_year;holiday;day_of_week
2022-09-28T06:00:00+02:00;3114967;2438889;676078;;;;
2022-09-29T06:00:00+02:00;2805061;2148778;656283;;;;
2022-09-30T06:00:00+02:00;3063465;2426288;637177;;;;
2022-10-01T06:00:00+02:00;2660414;1960661;699753;;;;
2022-10-02T06:00:00+02:00;2547962;1909034;638928;;;;
2022-10-03T06:00:00+02:00;2545298;1917909;627389;;;;
2022-10-04T06:00:00+02:00;3001695;2447187;554508;;;;
2022-10-05T06:00:00+02:00;2865957;2377823;488134;;;;
2022-10-06T06:00:00+02:00;2425013;1929245;495768;;;;
2022-10-07T06:00:00+02:00;2958171;2403370;554801;;;;
2022-10-08T06:00:00+02:00;2575802;1962919;612883;;;;
2022-10-09T06:00:00+02:00;2859954;2194898;665056;;;;
2022-10-10T06:00:00+02:00;3011699;2377625;634074;;;;
2022-10-11T06:00:00+02:00;2334055;1661713;672342;;;;
2022-10-12T06:00:00+02:00;2023327;1283166;740161;;;;
2022-10-13T06:00:00+02:00;2955739;2242202;713537;;;;
2022-10-14T06:00:00+02:00;3263951;2650828;613123;;;;
2022-10-15T06:00:00+02:00;2440087;1909821;530266;;;;
2022-10-16T06:00:00+02:00;2303945;1817746;486199;;;;
2022-10-17T06:00:00+02:00;1373442;988489;384953;;;;
2022-10-18T06:00:00+02:00;1280791;808372;472419;;;;
2022-10-19T06:00:00+02:00;1873545;1246170;627375;;;;
2022-10-20T06:00:00+02:00;2686258;1955249;731009;;;;
2022-10-21T06:00:00+02:00;2856214;2228723;627491;;;;
2022-10-22T06:00:00+02:00;2561380;2032192;529188;;;;
2022-10-23T06:00:00+02:00;2693947;2147121;546826;;;;
2022-10-24T06:00:00+02:00;2648877;2151404;497473;;;;
2022-10-25T06:00:00+02:00;2594687;2058969;535718;;;;
2022-10-26T06:00:00+02:00;3009922;2438084;571838;;;;
2022-10-27T06:00:00+02:00;1912379;1424368;488011;;;;
2022-10-28T06:00:00+02:00;2671609;2267730;403879;;;;
2022-10-29T06:00:00+02:00;2466029;2071229;394800;;;;
2022-10-30T06:00:00+01:00;2328802;1906633;422169;;;;
2022-10-31T06:00:00+01:00;2538512;1999556;538956;;;;
2022-11-01T06:00:00+01:00;2974952;2393645;581307;;;;
2022-11-02T06:00:00+01:00;3200306;2498192;702114;;;;
2022-11-03T06:00:00+01:00;2223613;1417685;805928;;;;
2022-11-04T06:00:00+01:00;3551201;2713906;837295;;;;
2022-11-05T06:00:00+01:00;3632679;2729139;903540;;;;
2022-11-06T06:00:00+01:00;3414388;2476493;937895;;;;
2022-11-07T06:00:00+01:00;3026865;2173241;853624;;;;
2022-11-08T06:00:00+01:00;2886417;2125596;760821;;;;
2022-11-09T06:00:00+01:00;3172295;2441569;730726;;;;
2022-11-10T06:00:00+01:00;2964738;2178289;786449;;;;
2022-11-11T06:00:00+01:00;3027262;2102035;925227;;;;
2022-11-12T06:00:00+01:00;3304220;2270323;1033897;;;;
2022-11-13T06:00:00+01:00;3239680;2112046;1127634;;;;
2022-11-14T06:00:00+01:00;3500562;2355820;1144742;;;;
2022-11-15T06:00:00+01:00;3553148;2463363;1089785;;;;
2022-11-16T06:00:00+01:00;3943208;2652759;1290449;;;;
2022-11-17T06:00:00+01:00;4054506;2550283;1504223;;;;
2022-11-18T06:00:00+01:00;5148355;3260233;1888122;;;;
2022-11-19T06:00:00+01:00;4422100;2477469;1944631;;;;
2022-11-20T06:00:00+01:00;4531496;2528370;2003126;;;;
2022-11-21T06:00:00+01:00;4808524;2775922;2032602;;;;
2022-11-22T06:00:00+01:00;4361302;2354450;2006852;;;;
2022-11-23T06:00:00+01:00;3454498;1615039;1839459;;;;
2022-11-24T06:00:00+01:00;4355636;2543841;1811795;;;;
2022-11-25T06:00:00+01:00;4336128;2789340;1546788;;;;
2022-11-26T06:00:00+01:00;3976529;2548472;1428057;;;;
2022-11-27T06:00:00+01:00;3910263;2370464;1539799;;;;
2022-11-28T06:00:00+01:00;4892845;3244317;1648528;;;;
2022-11-29T06:00:00+01:00;5075863;3425328;1650535;;;;
2022-11-30T06:00:00+01:00;3859925;2161268;1698657;;;;
2022-12-01T06:00:00+01:00;4157972;2264864;1893108;;;;
2022-12-02T06:00:00+01:00;4503772;2507519;1996253;;;;
2022-12-03T06:00:00+01:00;5325493;3268529;2056964;;;;
2022-12-04T06:00:00+01:00;5096751;3094534;2002217;;;;
2022-12-05T06:00:00+01:00;5461826;3589443;1872383;;;;
2022-12-06T06:00:00+01:00;5256508;3372234;1884274;;;;
2022-12-07T06:00:00+01:00;4734805;2839567;1895238;;;;
2022-12-08T06:00:00+01:00;4503709;2531212;1972497;;;;
2022-12-09T06:00:00+01:00;5974476;3889878;2084598;;;;
2022-12-10T06:00:00+01:00;5733012;3562464;2170548;;;;
2022-12-11T06:00:00+01:00;5536957;3268060;2268897;;;;
2022-12-12T06:00:00+01:00;6074810;3744282;2330528;;;;
